Date,Ticket Number,Customer Email,Agent ID,Issue,Status,Average Handling Time,Resolution,Contact via,Ratings,AI Conversion
04-01-2025,ADB-4256-9744,victoria568@aol.com,tel10040,How To,Callback Scheduled,20,SME Callback Scheduled,Phone,,Issue not Resolved
04-01-2025,ADB-2871-3462,michael433@aol.com,tel10018,Update,Pending Customer Action,15,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-6814-5702,alyssa784@gmail.com,tel10003,Update,Resolved,16,Shared Self-Help Article,Chat,4,AI Sold
04-01-2025,ADB-9293-3561,tammy904@sbcglobal.net,tel10005,How To,Resolved,26,Remote Support,Chat,1,AI Sold
04-01-2025,ADB-6784-5000,cheryl382@sbcglobal.net,tel10067,Update,Pending Customer Action,20,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-5050-4210,debra865@yahoo.com,tel10072,Download/ Install,Resolved,29,Remote Support,Chat,5,Not Interested
04-01-2025,ADB-6574-3354,thomas514@yahoo.com,tel10092,How To,Resolved,27,Remote Support,Chat,5,Already has AI
04-01-2025,ADB-7307-6845,vickie421@yahoo.com,tel10005,Activation Issue,Resolved,28,Remote Support,Phone,5,Already has AI
04-01-2025,ADB-5186-7642,danielle814@bellsouth.net,tel10049,How To,Resolved,19,Shared Self-Help Article,Phone,4,AI Sold
04-01-2025,ADB-7590-5866,robert372@outlook.com,tel10016,Update,Pending Customer Action,16,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-8491-9745,alexa491@yahoo.com,tel10007,Provisioning Issue,Resolved,20,Shared Self-Help Article,Phone,4,Not Interested
04-01-2025,ADB-3478-6401,lisa259@gmail.com,tel10075,Download/ Install,Resolved,28,Remote Support,Phone,4,Already has AI
04-01-2025,ADB-1518-8487,david575@bellsouth.net,tel10077,Activation Issue,Resolved,28,Remote Support,Phone,5,Already has AI
04-01-2025,ADB-6378-6180,tiffany887@sbcglobal.net,tel10011,Update,Resolved,19,Shared Self-Help Article,Phone,1,Already has AI
04-01-2025,ADB-2783-5575,brent448@sbcglobal.net,tel10044,How To,Resolved,17,Shared Self-Help Article,Phone,3,Not Interested
04-01-2025,ADB-5058-1079,rebecca568@outlook.com,tel10096,Update,Pending Customer Action,17,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-7647-2776,james877@outlook.com,tel10080,Update,Pending Agent Action,15,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-1088-8568,danny71@comcast.net,tel10088,Update,Resolved,25,Remote Support,Phone,4,AI Sold
04-01-2025,ADB-4760-5608,john969@aol.com,tel10007,How To,Resolved,15,Shared Self-Help Article,Phone,2,Already has AI
04-01-2025,ADB-3413-3458,kathleen600@sbcglobal.net,tel10084,Download/ Install,Pending Agent Action,18,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-4010-4965,kathleen595@outlook.com,tel10017,How To,Resolved,30,Remote Support,Phone,4,Not Interested
04-01-2025,ADB-5516-6196,jason356@aol.com,tel10092,Update,Resolved,16,Shared Self-Help Article,Phone,2,Not Interested
04-01-2025,ADB-9245-2801,dennis87@aol.com,tel10019,How To,Resolved,19,Shared Self-Help Article,Phone,4,Already has AI
04-01-2025,ADB-1647-8580,raymond120@outlook.com,tel10072,Activation Issue,Resolved,17,Shared Self-Help Article,Phone,5,AI Sold
04-01-2025,ADB-1718-6208,jeremy521@bellsouth.net,tel10049,Download/ Install,Callback Scheduled,20,SME Callback Scheduled,Chat,,Issue not Resolved
04-01-2025,ADB-1994-3480,damon841@aol.com,tel10087,Provisioning Issue,Resolved,17,Shared Self-Help Article,Phone,5,Already has AI
04-01-2025,ADB-8217-7429,michael614@outlook.com,tel10023,Activation Issue,Resolved,29,Remote Support,Phone,4,Not Interested
04-01-2025,ADB-2375-1046,john475@gmail.com,tel10067,How To,Resolved,16,Shared Self-Help Article,Phone,,AI Sold
04-01-2025,ADB-2221-9217,samantha280@aol.com,tel10076,Download/ Install,Pending Customer Action,18,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-5683-1075,makayla351@aol.com,tel10018,Download/ Install,Resolved,28,Remote Support,Chat,5,Not Interested
04-01-2025,ADB-4485-6576,william654@sbcglobal.net,tel10085,Provisioning Issue,Resolved,16,Shared Self-Help Article,Phone,4,AI Sold
04-01-2025,ADB-8190-5960,joseph147@comcast.net,tel10058,Activation Issue,Resolved,16,Shared Self-Help Article,Chat,,Not Interested
04-01-2025,ADB-3782-6617,robert720@outlook.com,tel10002,Provisioning Issue,Resolved,17,Shared Self-Help Article,Chat,3,Already has AI
04-01-2025,ADB-9537-9831,thomas976@yahoo.com,tel10095,Activation Issue,Resolved,19,Shared Self-Help Article,Chat,,Not Interested
04-01-2025,ADB-7672-2887,shane349@bellsouth.net,tel10084,Update,Resolved,15,Shared Self-Help Article,Phone,,Not Interested
04-01-2025,ADB-2685-9654,joshua34@aol.com,tel10033,Activation Issue,Resolved,20,Shared Self-Help Article,Chat,,AI Sold
04-01-2025,ADB-4581-7719,nicholas260@sbcglobal.net,tel10028,Download/ Install,Resolved,20,Shared Self-Help Article,Chat,5,Already has AI
04-01-2025,ADB-3560-6579,sarah346@outlook.com,tel10057,Provisioning Issue,Pending Customer Action,17,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-3151-4045,nichole283@sbcglobal.net,tel10088,Download/ Install,Resolved,25,Remote Support,Chat,5,Already has AI
04-01-2025,ADB-9977-1635,jose656@bellsouth.net,tel10051,Provisioning Issue,Resolved,26,Remote Support,Chat,,AI Sold
04-01-2025,ADB-7625-9946,danielle602@sbcglobal.net,tel10086,Activation Issue,Pending Customer Action,15,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-6071-3978,derek862@gmail.com,tel10006,Provisioning Issue,Resolved,18,Shared Self-Help Article,Phone,4,Not Interested
04-01-2025,ADB-3029-7478,thomas514@bellsouth.net,tel10022,Activation Issue,Pending Customer Action,18,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-3361-9162,lynn87@aol.com,tel10044,Activation Issue,Pending Agent Action,18,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-1717-2793,timothy187@yahoo.com,tel10066,Provisioning Issue,Resolved,18,Shared Self-Help Article,Phone,4,Already has AI
04-01-2025,ADB-3174-4628,jacob638@comcast.net,tel10088,Provisioning Issue,Resolved,17,Shared Self-Help Article,Chat,5,Already has AI
04-01-2025,ADB-9275-7637,john776@aol.com,tel10053,Activation Issue,Callback Scheduled,15,SME Callback Scheduled,Chat,,Issue not Resolved
04-01-2025,ADB-3278-5423,anthony187@yahoo.com,tel10097,Download/ Install,Pending Agent Action,16,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-4246-7749,amanda181@sbcglobal.net,tel10073,Download/ Install,Resolved,16,Shared Self-Help Article,Phone,5,Already has AI
04-01-2025,ADB-5409-8951,gregory698@bellsouth.net,tel10083,Activation Issue,Resolved,28,Remote Support,Phone,1,AI Sold
04-01-2025,ADB-5639-1227,zachary15@sbcglobal.net,tel10000,Update,Resolved,16,Shared Self-Help Article,Phone,4,Already has AI
04-01-2025,ADB-1402-2852,heather74@sbcglobal.net,tel10086,Download/ Install,Resolved,30,Remote Support,Chat,,Not Interested
04-01-2025,ADB-2507-4238,tammie356@comcast.net,tel10046,Provisioning Issue,Resolved,18,Shared Self-Help Article,Phone,5,AI Sold
04-01-2025,ADB-7551-2472,matthew946@comcast.net,tel10095,Activation Issue,Resolved,18,Shared Self-Help Article,Chat,5,Not Interested
04-01-2025,ADB-4232-6353,timothy921@bellsouth.net,tel10097,Provisioning Issue,Resolved,20,Shared Self-Help Article,Chat,2,Already has AI
04-01-2025,ADB-3829-4533,jill442@comcast.net,tel10016,Activation Issue,Resolved,20,Shared Self-Help Article,Chat,1,Not Interested
04-01-2025,ADB-9227-4485,david733@gmail.com,tel10019,Provisioning Issue,Resolved,25,Remote Support,Phone,1,Already has AI
04-01-2025,ADB-8629-4958,chloe83@sbcglobal.net,tel10005,Activation Issue,Resolved,15,Shared Self-Help Article,Chat,4,Already has AI
04-01-2025,ADB-6983-4687,kevin982@gmail.com,tel10078,Update,Resolved,28,Remote Support,Phone,3,Not Interested
04-01-2025,ADB-3915-7356,samantha865@gmail.com,tel10086,Download/ Install,Resolved,19,Shared Self-Help Article,Chat,4,Already has AI
04-01-2025,ADB-1051-5493,nancy279@outlook.com,tel10042,Download/ Install,Resolved,15,Shared Self-Help Article,Phone,5,AI Sold
04-01-2025,ADB-8513-1288,louis143@gmail.com,tel10045,Download/ Install,Resolved,30,Remote Support,Chat,4,Already has AI
04-01-2025,ADB-8036-7930,daniel978@gmail.com,tel10048,How To,Resolved,25,Remote Support,Chat,4,Already has AI
04-01-2025,ADB-5740-2450,collin984@sbcglobal.net,tel10099,Provisioning Issue,Resolved,27,Remote Support,Chat,4,Already has AI
04-01-2025,ADB-5747-8351,christopher943@gmail.com,tel10048,Provisioning Issue,Resolved,18,Shared Self-Help Article,Chat,3,Not Interested
04-01-2025,ADB-5503-1452,peter422@aol.com,tel10075,Activation Issue,Resolved,30,Remote Support,Phone,5,Not Interested
04-01-2025,ADB-4758-1945,lauren575@bellsouth.net,tel10033,Download/ Install,Resolved,29,Remote Support,Phone,4,AI Sold
04-01-2025,ADB-5409-6945,lawrence120@bellsouth.net,tel10044,Activation Issue,Pending Agent Action,20,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-2390-3085,tony12@yahoo.com,tel10057,Activation Issue,Resolved,17,Shared Self-Help Article,Chat,,Not Interested
04-01-2025,ADB-4579-5805,michael113@gmail.com,tel10039,Provisioning Issue,Callback Scheduled,18,SME Callback Scheduled,Chat,,Issue not Resolved
04-01-2025,ADB-2492-4506,gwendolyn821@sbcglobal.net,tel10083,Update,Resolved,16,Shared Self-Help Article,Phone,1,AI Sold
04-01-2025,ADB-4187-3704,charles184@outlook.com,tel10038,Activation Issue,Resolved,27,Remote Support,Phone,5,Not Interested
04-01-2025,ADB-6992-1326,steven132@yahoo.com,tel10052,Provisioning Issue,Resolved,29,Remote Support,Chat,1,Not Interested
04-01-2025,ADB-9025-9847,diana217@yahoo.com,tel10005,Provisioning Issue,Resolved,18,Shared Self-Help Article,Phone,1,Not Interested
04-01-2025,ADB-3637-5258,sergio880@aol.com,tel10003,Download/ Install,Resolved,17,Shared Self-Help Article,Chat,1,Already has AI
04-01-2025,ADB-1021-4657,ellen215@aol.com,tel10075,Download/ Install,Pending Customer Action,15,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-1339-7204,catherine945@sbcglobal.net,tel10057,Update,Pending Agent Action,16,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-6217-8039,lisa590@comcast.net,tel10064,Activation Issue,Resolved,29,Remote Support,Phone,5,Already has AI
04-01-2025,ADB-2608-1717,alison161@yahoo.com,tel10075,Activation Issue,Resolved,30,Remote Support,Chat,2,Not Interested
04-01-2025,ADB-3499-3164,ashlee171@yahoo.com,tel10001,Provisioning Issue,Resolved,30,Remote Support,Phone,4,Already has AI
04-01-2025,ADB-5891-7862,amanda279@outlook.com,tel10054,Update,Resolved,18,Shared Self-Help Article,Phone,5,AI Sold
04-01-2025,ADB-7370-4682,ruth97@aol.com,tel10063,Activation Issue,Resolved,19,Shared Self-Help Article,Phone,5,Not Interested
04-01-2025,ADB-6356-1275,yesenia974@gmail.com,tel10084,Download/ Install,Resolved,27,Remote Support,Phone,4,AI Sold
04-01-2025,ADB-1305-5184,courtney133@sbcglobal.net,tel10070,Activation Issue,Resolved,30,Remote Support,Phone,5,AI Sold
04-01-2025,ADB-3305-5221,daniel215@yahoo.com,tel10016,Download/ Install,Resolved,20,Shared Self-Help Article,Phone,1,Not Interested
04-01-2025,ADB-5704-7487,anna703@outlook.com,tel10058,Activation Issue,Resolved,30,Remote Support,Chat,5,Already has AI
04-01-2025,ADB-6306-8537,jeffrey591@gmail.com,tel10049,Update,Resolved,17,Shared Self-Help Article,Chat,4,AI Sold
04-01-2025,ADB-2396-5837,jacob967@sbcglobal.net,tel10055,Activation Issue,Resolved,15,Shared Self-Help Article,Phone,1,Not Interested
04-01-2025,ADB-6284-2658,thomas330@outlook.com,tel10011,Update,Resolved,19,Shared Self-Help Article,Phone,2,AI Sold
04-01-2025,ADB-1787-1044,steven815@yahoo.com,tel10087,Provisioning Issue,Resolved,26,Remote Support,Phone,4,AI Sold
04-01-2025,ADB-9494-1009,kevin144@outlook.com,tel10055,Update,Resolved,18,Shared Self-Help Article,Phone,2,AI Sold
04-01-2025,ADB-6837-7477,caitlin871@comcast.net,tel10045,How To,Resolved,16,Shared Self-Help Article,Chat,5,Not Interested
04-01-2025,ADB-5439-8388,andrew241@sbcglobal.net,tel10036,Download/ Install,Pending Customer Action,20,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-9734-6736,taylor824@outlook.com,tel10069,Activation Issue,Resolved,15,Shared Self-Help Article,Phone,5,AI Sold
04-01-2025,ADB-7141-1426,daniel725@yahoo.com,tel10056,Download/ Install,Resolved,28,Remote Support,Chat,2,AI Sold
04-01-2025,ADB-9663-9236,sandra179@gmail.com,tel10097,Provisioning Issue,Resolved,19,Shared Self-Help Article,Phone,5,Already has AI
04-01-2025,ADB-9667-7917,karen905@yahoo.com,tel10016,Update,Callback Scheduled,19,SME Callback Scheduled,Phone,,Issue not Resolved
04-01-2025,ADB-3917-3055,anthony271@sbcglobal.net,tel10078,Update,Callback Scheduled,17,SME Callback Scheduled,Phone,,Issue not Resolved
04-01-2025,ADB-8991-5468,valerie53@gmail.com,tel10092,How To,Resolved,27,Remote Support,Phone,,Already has AI
04-01-2025,ADB-1139-3897,heather445@gmail.com,tel10091,Download/ Install,Resolved,27,Remote Support,Phone,4,Already has AI
04-01-2025,ADB-6621-9711,jessica285@bellsouth.net,tel10044,Update,Resolved,29,Remote Support,Chat,,Not Interested
04-01-2025,ADB-8139-8912,mikayla721@comcast.net,tel10077,Activation Issue,Pending Customer Action,17,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-2511-2445,zoe372@sbcglobal.net,tel10015,Download/ Install,Resolved,16,Shared Self-Help Article,Phone,5,Already has AI
04-01-2025,ADB-9193-3505,amanda212@gmail.com,tel10038,Download/ Install,Resolved,25,Remote Support,Chat,1,Already has AI
04-01-2025,ADB-2405-5627,emily138@comcast.net,tel10079,Activation Issue,Pending Customer Action,15,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-5127-1368,marie810@comcast.net,tel10002,Activation Issue,Resolved,27,Remote Support,Chat,4,Already has AI
04-01-2025,ADB-8737-7254,charles477@outlook.com,tel10059,Provisioning Issue,Pending Customer Action,17,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-9149-5370,tim281@gmail.com,tel10003,How To,Resolved,18,Shared Self-Help Article,Phone,5,Already has AI
04-01-2025,ADB-1563-7956,jose293@bellsouth.net,tel10008,Provisioning Issue,Resolved,30,Remote Support,Chat,5,Not Interested
04-01-2025,ADB-1605-4925,evelyn937@yahoo.com,tel10018,Download/ Install,Resolved,20,Shared Self-Help Article,Phone,5,Already has AI
04-01-2025,ADB-8538-3504,kayla644@aol.com,tel10050,Provisioning Issue,Resolved,29,Remote Support,Phone,,Not Interested
04-01-2025,ADB-1653-4635,joseph739@outlook.com,tel10080,Download/ Install,Resolved,27,Remote Support,Chat,2,Already has AI
04-01-2025,ADB-4421-3235,james665@gmail.com,tel10079,Activation Issue,Resolved,20,Shared Self-Help Article,Chat,4,Already has AI
04-01-2025,ADB-3451-7387,james437@sbcglobal.net,tel10008,Download/ Install,Pending Agent Action,20,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-1686-7729,sandra355@comcast.net,tel10086,Activation Issue,Resolved,30,Remote Support,Chat,5,AI Sold
04-01-2025,ADB-2007-6502,kevin765@outlook.com,tel10008,Update,Resolved,30,Remote Support,Chat,4,Already has AI
04-01-2025,ADB-6888-3460,david941@bellsouth.net,tel10050,Download/ Install,Resolved,25,Remote Support,Phone,,Already has AI
04-01-2025,ADB-7577-2606,dwayne151@yahoo.com,tel10060,Update,Resolved,16,Shared Self-Help Article,Chat,4,Not Interested
04-01-2025,ADB-9708-9157,rick525@comcast.net,tel10056,Update,Callback Scheduled,19,SME Callback Scheduled,Phone,,Issue not Resolved
04-01-2025,ADB-4018-9235,george355@aol.com,tel10053,Update,Resolved,30,Remote Support,Chat,4,Not Interested
04-01-2025,ADB-3136-1106,tyler562@comcast.net,tel10056,How To,Pending Agent Action,15,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-5171-8375,david271@sbcglobal.net,tel10080,Update,Resolved,29,Remote Support,Chat,3,AI Sold
04-01-2025,ADB-1204-2407,jennifer729@comcast.net,tel10059,Download/ Install,Resolved,25,Remote Support,Chat,4,Already has AI
04-01-2025,ADB-7905-5080,melanie402@yahoo.com,tel10024,Activation Issue,Resolved,19,Shared Self-Help Article,Chat,5,AI Sold
04-01-2025,ADB-6226-5509,jessica821@outlook.com,tel10087,Provisioning Issue,Resolved,20,Shared Self-Help Article,Chat,4,Already has AI
04-01-2025,ADB-4163-5564,cindy487@outlook.com,tel10074,How To,Resolved,28,Remote Support,Chat,1,AI Sold
04-01-2025,ADB-1338-8161,christopher539@bellsouth.net,tel10013,Download/ Install,Resolved,26,Remote Support,Chat,,Not Interested
04-01-2025,ADB-1501-2432,kelly705@yahoo.com,tel10066,Activation Issue,Resolved,18,Shared Self-Help Article,Chat,,Not Interested
04-01-2025,ADB-7637-3490,william929@yahoo.com,tel10077,Activation Issue,Resolved,29,Remote Support,Phone,4,Already has AI
04-01-2025,ADB-8769-8499,ashley394@yahoo.com,tel10095,Update,Resolved,18,Shared Self-Help Article,Chat,,Already has AI
04-01-2025,ADB-4281-8733,mark300@sbcglobal.net,tel10048,Provisioning Issue,Resolved,30,Remote Support,Phone,,Already has AI
04-01-2025,ADB-3603-9765,elizabeth538@sbcglobal.net,tel10036,Update,Callback Scheduled,15,SME Callback Scheduled,Chat,,Issue not Resolved
04-01-2025,ADB-2188-4275,debra509@bellsouth.net,tel10039,Activation Issue,Callback Scheduled,19,SME Callback Scheduled,Chat,,Issue not Resolved
04-01-2025,ADB-8745-6580,johnny780@yahoo.com,tel10076,Download/ Install,Pending Agent Action,18,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-8917-7557,billy601@yahoo.com,tel10028,Update,Resolved,27,Remote Support,Phone,,Not Interested
04-01-2025,ADB-2675-5523,calvin961@sbcglobal.net,tel10051,How To,Callback Scheduled,17,SME Callback Scheduled,Chat,,Issue not Resolved
04-01-2025,ADB-2279-2854,leslie264@outlook.com,tel10022,Update,Resolved,28,Remote Support,Phone,5,Already has AI
04-01-2025,ADB-8851-6813,joshua169@yahoo.com,tel10002,Provisioning Issue,Resolved,19,Shared Self-Help Article,Phone,5,Not Interested
04-01-2025,ADB-7886-5026,austin492@comcast.net,tel10008,Download/ Install,Resolved,15,Shared Self-Help Article,Chat,,Not Interested
04-01-2025,ADB-2395-2986,richard402@outlook.com,tel10096,Update,Resolved,16,Shared Self-Help Article,Chat,5,AI Sold
04-01-2025,ADB-9670-5239,sean734@comcast.net,tel10069,Provisioning Issue,Resolved,17,Shared Self-Help Article,Chat,,Not Interested
04-01-2025,ADB-3497-1949,sarah173@bellsouth.net,tel10017,Download/ Install,Resolved,18,Shared Self-Help Article,Phone,4,AI Sold
04-01-2025,ADB-9881-4528,anna241@bellsouth.net,tel10062,Activation Issue,Callback Scheduled,16,SME Callback Scheduled,Phone,,Issue not Resolved
04-01-2025,ADB-2780-7618,dylan518@outlook.com,tel10096,Download/ Install,Resolved,20,Shared Self-Help Article,Chat,5,Already has AI
04-01-2025,ADB-8952-9356,gabrielle520@aol.com,tel10054,Update,Resolved,30,Remote Support,Chat,2,Already has AI
04-01-2025,ADB-3690-8791,stephanie16@comcast.net,tel10095,Provisioning Issue,Callback Scheduled,15,SME Callback Scheduled,Chat,,Issue not Resolved
04-01-2025,ADB-5635-8493,peter152@comcast.net,tel10007,How To,Resolved,15,Shared Self-Help Article,Phone,1,AI Sold
04-01-2025,ADB-5854-1517,thomas776@gmail.com,tel10088,Download/ Install,Resolved,30,Remote Support,Chat,3,AI Sold
04-01-2025,ADB-4489-3122,hannah557@yahoo.com,tel10060,Provisioning Issue,Resolved,15,Shared Self-Help Article,Chat,4,Not Interested
04-01-2025,ADB-1020-6526,laura296@sbcglobal.net,tel10014,Provisioning Issue,Resolved,27,Remote Support,Chat,4,Already has AI
04-01-2025,ADB-6782-9642,nicholas835@sbcglobal.net,tel10043,Activation Issue,Pending Customer Action,15,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-4019-3542,kathleen237@bellsouth.net,tel10065,Update,Resolved,26,Remote Support,Chat,,AI Sold
04-01-2025,ADB-3160-5185,daniel281@bellsouth.net,tel10041,How To,Resolved,19,Shared Self-Help Article,Chat,5,Already has AI
04-01-2025,ADB-8712-3855,lisa144@aol.com,tel10093,Download/ Install,Resolved,28,Remote Support,Chat,3,Not Interested
04-01-2025,ADB-1886-7880,michael56@aol.com,tel10085,Activation Issue,Callback Scheduled,19,SME Callback Scheduled,Phone,,Issue not Resolved
04-01-2025,ADB-1835-6890,scott516@gmail.com,tel10052,How To,Resolved,25,Remote Support,Phone,4,AI Sold
04-01-2025,ADB-1090-9844,timothy202@sbcglobal.net,tel10078,How To,Resolved,15,Shared Self-Help Article,Chat,,Already has AI
04-01-2025,ADB-5104-7801,lindsay888@comcast.net,tel10070,Activation Issue,Resolved,17,Shared Self-Help Article,Chat,4,AI Sold
04-01-2025,ADB-8871-4600,christopher436@comcast.net,tel10008,Update,Resolved,29,Remote Support,Chat,2,Already has AI
04-01-2025,ADB-8198-8021,matthew531@sbcglobal.net,tel10053,Provisioning Issue,Resolved,29,Remote Support,Chat,2,Already has AI
04-01-2025,ADB-8469-4021,kyle753@gmail.com,tel10084,Download/ Install,Resolved,19,Shared Self-Help Article,Chat,4,Not Interested
04-01-2025,ADB-8420-4438,jennifer160@bellsouth.net,tel10084,How To,Resolved,25,Remote Support,Phone,1,AI Sold
04-01-2025,ADB-3196-6682,dylan937@outlook.com,tel10035,Provisioning Issue,Pending Customer Action,17,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-2200-8125,patrick956@yahoo.com,tel10022,Download/ Install,Callback Scheduled,15,SME Callback Scheduled,Phone,,Issue not Resolved
04-01-2025,ADB-5737-6212,allen257@yahoo.com,tel10085,Update,Resolved,20,Shared Self-Help Article,Chat,5,AI Sold
04-01-2025,ADB-3838-7541,katherine241@bellsouth.net,tel10092,Download/ Install,Resolved,29,Remote Support,Chat,,AI Sold
04-01-2025,ADB-6664-5398,christian175@gmail.com,tel10015,Provisioning Issue,Resolved,17,Shared Self-Help Article,Phone,,Not Interested
04-01-2025,ADB-2310-8739,chad599@sbcglobal.net,tel10051,Update,Resolved,30,Remote Support,Chat,5,AI Sold
04-01-2025,ADB-7983-5344,heather186@yahoo.com,tel10054,Update,Resolved,26,Remote Support,Phone,1,Already has AI
04-01-2025,ADB-9814-6294,shelby293@outlook.com,tel10020,Provisioning Issue,Resolved,29,Remote Support,Phone,5,Already has AI
04-01-2025,ADB-6123-8291,kathleen374@bellsouth.net,tel10025,Update,Resolved,18,Shared Self-Help Article,Chat,4,Not Interested
04-01-2025,ADB-4351-9754,mitchell362@yahoo.com,tel10087,How To,Callback Scheduled,15,SME Callback Scheduled,Phone,,Issue not Resolved
04-01-2025,ADB-4232-5255,joseph482@sbcglobal.net,tel10078,How To,Callback Scheduled,18,SME Callback Scheduled,Chat,,Issue not Resolved
04-01-2025,ADB-8513-5148,anna13@gmail.com,tel10075,Update,Resolved,16,Shared Self-Help Article,Phone,,AI Sold
04-01-2025,ADB-6386-7331,adam85@yahoo.com,tel10065,Update,Resolved,18,Shared Self-Help Article,Chat,4,AI Sold
04-01-2025,ADB-7700-2091,michael630@outlook.com,tel10077,Activation Issue,Pending Agent Action,19,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-7648-2474,ashley189@outlook.com,tel10000,Update,Callback Scheduled,15,SME Callback Scheduled,Phone,,Issue not Resolved
04-01-2025,ADB-6315-1402,jonathan73@sbcglobal.net,tel10085,Provisioning Issue,Resolved,18,Shared Self-Help Article,Phone,,Already has AI
04-01-2025,ADB-8861-3094,aaron718@bellsouth.net,tel10060,Provisioning Issue,Pending Customer Action,20,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-1299-8920,laura686@gmail.com,tel10025,How To,Resolved,19,Shared Self-Help Article,Phone,,Already has AI
04-01-2025,ADB-8451-3885,rhonda824@outlook.com,tel10088,Provisioning Issue,Pending Customer Action,19,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-3268-9325,heather261@gmail.com,tel10062,Download/ Install,Resolved,28,Remote Support,Phone,1,Already has AI
04-01-2025,ADB-7492-2575,stephanie731@gmail.com,tel10068,Provisioning Issue,Resolved,27,Remote Support,Chat,5,Already has AI
04-01-2025,ADB-4116-3487,jacqueline282@comcast.net,tel10048,Activation Issue,Resolved,19,Shared Self-Help Article,Chat,2,Already has AI
04-01-2025,ADB-1887-3621,thomas790@comcast.net,tel10069,Update,Resolved,20,Shared Self-Help Article,Phone,4,Not Interested
04-01-2025,ADB-3279-4140,valerie657@aol.com,tel10020,Download/ Install,Resolved,18,Shared Self-Help Article,Chat,2,Not Interested
04-01-2025,ADB-6002-4994,lindsey937@aol.com,tel10022,How To,Resolved,26,Remote Support,Chat,,Not Interested
04-01-2025,ADB-3350-8781,carl728@gmail.com,tel10045,Activation Issue,Resolved,20,Shared Self-Help Article,Chat,3,AI Sold
04-01-2025,ADB-3991-2425,christina652@sbcglobal.net,tel10007,How To,Resolved,15,Shared Self-Help Article,Phone,4,AI Sold
04-01-2025,ADB-2189-5595,michelle89@outlook.com,tel10056,How To,Pending Agent Action,20,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-2764-3570,anthony211@comcast.net,tel10001,Provisioning Issue,Resolved,28,Remote Support,Chat,4,Already has AI
04-01-2025,ADB-4541-1369,john109@comcast.net,tel10019,How To,Pending Agent Action,18,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-2024-9564,dawn571@gmail.com,tel10037,Provisioning Issue,Resolved,15,Shared Self-Help Article,Chat,,AI Sold
04-01-2025,ADB-9133-7152,kevin881@outlook.com,tel10069,Activation Issue,Resolved,29,Remote Support,Phone,1,Already has AI
04-01-2025,ADB-4946-3956,allison583@sbcglobal.net,tel10039,Download/ Install,Pending Agent Action,16,Issue not Resolved,Chat,,Issue not Resolved
04-01-2025,ADB-1056-4383,andre807@yahoo.com,tel10090,Download/ Install,Resolved,17,Shared Self-Help Article,Phone,1,Already has AI
04-01-2025,ADB-9378-4517,christopher379@outlook.com,tel10043,Update,Pending Agent Action,17,Issue not Resolved,Phone,,Issue not Resolved
04-01-2025,ADB-4365-2982,michelle279@yahoo.com,tel10086,Activation Issue,Resolved,29,Remote Support,Chat,5,AI Sold
04-01-2025,ADB-8771-9183,kimberly795@yahoo.com,tel10029,How To,Resolved,17,Shared Self-Help Article,Phone,,Not Interested
04-01-2025,ADB-2678-7445,marisa400@bellsouth.net,tel10058,Activation Issue,Resolved,28,Remote Support,Phone,1,Already has AI
04-01-2025,ADB-6765-9569,eugene69@bellsouth.net,tel10045,Activation Issue,Resolved,28,Remote Support,Chat,2,Not Interested
04-01-2025,ADB-6674-2940,joshua894@sbcglobal.net,tel10078,How To,Resolved,29,Remote Support,Chat,1,AI Sold
